Mode Used: BANG_BANG_MENU
Parameters Used: {"baseSpeed":250,"turnSpeedMultiplier":0.25,"bangBangThreshold":0.65,"sensorPeriod":0.0001,"controlPeriod":0.0001,"motorRegulatePeriod":0.1,"motorKp":0.01,"motorKi":0.01,"debugFlag":1}


--- MOTOR_LEFT Debug Data ---
Timestamp, distance, speed, target_speed, error, adjustment, persistent_error, newSpeed, originalSpeed
"12200",24.84501,120.70312,125,4.29688,0.00068,0.15215,0.54334,0.38916
"12300",24.89382,123.04688,125,1.95312,0.00034,0.15487,0.54506,0.38916
"12300",24.94503,120.70312,125,4.29688,0.00068,0.15726,0.54846,0.38916
"12400",25.00031,124.21875,125,0.78125,0.00018,0.15966,0.54935,0.38916
"12400",25.04865,135.35156,125,-10.35156,-0.00141,0.15738,0.54232,0.38916
"12500",25.1001,118.35938,125,6.64062,0.00101,0.15518,0.54738,0.38916
"12500",25.15012,126.5625,125,-1.5625,-0.00016,0.15791,0.5466,0.38916
"12600",25.20635,122.46094,125,2.53906,0.00043,0.1583,0.54875,0.38916
"12600",25.25948,136.52344,125,-11.52344,-0.00157,0.15644,0.54088,0.38916
"12700",25.3059,131.25,125,-6.25,-0.00083,0.15007,0.53675,0.38916
"12700",25.35711,113.08594,125,11.91406,0.00176,0.15112,0.54556,0.38916
"12800",25.40521,125.97656,125,-0.97656,-0.00007,0.15625,0.5452,0.38916
"12800",25.45977,117.1875,125,7.8125,0.00118,0.15839,0.5511,0.38916
"12900",25.51122,133.59375,125,-8.59375,-0.00116,0.15962,0.54532,0.38916
"12900",25.56004,125.97656,125,-0.97656,-0.00007,0.15601,0.54496,0.38916
"13000",25.61221,119.53125,125,5.46875,0.00085,0.15749,0.54919,0.38916
"13000",25.66294,128.32031,125,-3.32031,-0.0004,0.15922,0.54716,0.38916
"13100",25.72109,123.63281,125,1.36719,0.00026,0.15853,0.54847,0.38916
"13100",25.76967,141.79688,125,-16.79688,-0.00233,0.15466,0.53685,0.38916
"13200",25.81968,119.53125,125,5.46875,0.00084,0.14937,0.54106,0.38916
"13200",25.86898,122.46094,125,2.53906,0.00043,0.15275,0.54319,0.38916
"13300",25.91827,121.28906,125,3.71094,0.00059,0.15522,0.54617,0.38916
"13300",25.97307,119.53125,125,5.46875,0.00085,0.1587,0.5504,0.38916
"13400",26.02165,134.76562,125,-9.76562,-0.00132,0.15859,0.54378,0.38916
